cloverID,cloverName,iParent,iSelectionName,iPrice,iListPrice,iStock,iSell
8YQN3XCF3YXTA,Mack Series 1010 Striping # 00,,,1120,,-12,1
2FQYAMTEYKA0C,Mack Series 1010 Striping # 1,,,1280,,0,1
WQK7QSAWGDE68,Clear View Gallon Can w/ Lid,10128,,170,0,0,1
HCJXGE7ZY0J14,Temptu Airbrush Makeup 101 DVD*DISCONTINUED,101DVD,,5500,0,10,1
EDBFGCEQPZ5XP,One Shot 101L White 16oz,101L,Pint,1777,,-1,1
K855PS0KXPJ4P,One Shot 101L White 32oz,101L,Quart,3345,,-18,1
2R582RQ7RXDFM,One Shot 101L White 4oz,101L,4 oz,835,,-20,1
WKNMT4VHBJ6B2,Advantage Medium Thinner Gal. - Special Order,,,1328,,0,1
SYG9QEK66QK34,A/L Thinner Medium 5 Gallon,,,7823,,2,1
4ZC40EAWJ7SWM,One Shot 102L Fire Red 16oz,102L,Pint,2663,,-8,1
XZHY5F7ZVX85J,One Shot 102L Fire Red 4oz,102L,4 oz,1268,,0,1
N9CKWKC8K4ZY8,One Shot 102L Fire Red 32oz,102L,Quart,5026,,23,1
Z3NA8GQQ7DJK2,One Shot 103L Polar White 8oz,,,1259,,-29,1
Q062WG5Y6HSP8,One Shot 103L Polar White 4oz,,,834,,-2,1
MTNS1FJ9E0MC0,Advantage Slow Dry Acrylic Lacquer Thinner 5 Gallon,,,6726,,0,1
NR3FJJ7ZTYWQT,Acrylic Lacquer Thinner Slow Gallon,,,6726,,3,1
M1YPG2G7ECWWC,One Shot 104L Bright Red 8oz,,,1776,,-5,1
NHGD5Z386XKNG,One Shot 104L Bright Red 16oz,,,2570,,-17,1
ZA93Z90GA1PA4,One Shot 104L Bright Red 4oz,,,1241,,-15,1
JM5S1DKQXY72C,One Shot 104L Bright Red 32oz,,,4688,,-7,1
87VC0FFQ9GHTA,Badger Patriot Airbrush,105-1,,7495,12600,3,1
393T8NP1C54JR,Artogrpah 15 Watt 5000k Fluorescent Lamp,106-040,,875,0,0,1
505HJ97S8P9NP,Replacement Lamp 250 watt ECA,106-043,,725,1299,16,1
6W4M8VSHA83ZA,Artograph 23Watt Spiral Fluorescent Lamp for Tracer & Tracer Jr. Projector,106-061,,895,0,4,1
MD4P49X7F97F4,One Shot 106L Kool Crimson 8oz,,,1723,,0,1
PK0QJW25RETB6,One Shot 106L Kool Crimson 16oz,,,2850,,-5,1
4H2787QZ5QXRE,One Shot 106L  Kool Crimson 4oz,,,1205,,-20,1
4Q6SDES4WRCE8,Prism Projector Replacement Mirror,,,900,,0,1
FF5DB8D7Y7GHG,One Shot 108L Maroon 8oz,,,1722,,-22,1
C2YSM6Y31ZP4P,One Shot 108L Maroon 16oz,,,2516,,-5,1
EG0YFTXRME5VP,One Shot 108L Maroon 4oz,,,1205,,-62,1
ZBXBT6DEV2EHW,Sata Air Connection Coupling 1/4 1/4,,,1445,,0,1
NGKMBR7SSD6HE,One Shot 109L Metallic Gold 8 oz,,,2345,,-10,1
RC6AEBACCPCY2,One Shot 109L Metallic Gold 16oz,,,4290,,-2,1
MJRZAG2T60JAG,One Shot 109L Metallic Gold 32oz,,,8295,,-1,1
PM124MZFVGZDA,One Shot 109L Metallic Gold 4oz,,,1888,,-77,1
XD6CASFRGNCF0,Holbien 11 AeroFlash Transparent Deep Yellow 1oz,11-01,,880,0,16,1
XNPHV10SJMN08,"Steel Spreaders Assorted ( 1-4"")",,,756,,0,1
P4YSYYK8BJWQJ,"H&S Airbrush Holder in Module Construction, Basic Module",110193,,4653,0,-1,1
DZQZ8AHXADPB4,DewVilbiss Plus Gravity Feed Gun,110264,,62725,0,0,1
26HSW9R1WPJET,Devilbiss JGA Spray Gun 1.4mm*DISCONTINUED,110269,,24995,0,0,1
53S2VS2F45X00,H&S 3 foot hose for manifold,110273,,0,0,3,1
49KBZ6XK3J9XA,Tom Pruitt Limited Edition Devilbiss Aces Wild,110281,,39995,0,0,1
KJZVEQY7TWD1J,One Shot 110L Metallic Copper 8oz,,,2347,,0,1
416Q5A0T2FFYY,One Shot 110L Metallic Copper 16oz,,,4670,,1,1
R0VRHNWAEZK20,One Shot 110L  Metallic Copper 32oz,,,7858,,-1,1
X8MAWZVMGCHM2,One Shot 110L Metallic Copper 4oz,,,1803,,-34,1
16JN3NXXE1QEW,3lb Magnetic Retriever,,,495,,0,1
B16Q5BE44N3K2,One Shot 111L Metallic Brass 8oz,111L,8 oz,2347,,-2,1
