Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item,iParent,iSelectionName
2T8D2VB0HMCB2,3M Superbuff Adapter,,1339,Fixed,,DEFAULT,8.27,,05710,,3,,No,No,,
34ECMQ2SYS3FP,3M Hookit Plus Compounding Pad,,1395,Fixed,,DEFAULT,0.00,,05711,,3,,No,No,,
TASM3KB9NNW20,3M Hookit Polishing Pad,,1994,Fixed,,DEFAULT,0.00,,05713,,,,No,No,,
MFZXY81G5FZ68,3M Yellow Backing Velcro Pad,,7495,Fixed,,DEFAULT,0.00,,05717,,2,,No,No,,
YDHHYHGVSGRTT,3M Perfect-It Backup Pad Yellow,,6525,Fixed,,DEFAULT,0.00,,05718,,2,,No,No,,
3JW3P6MBWEHXC,3M Perfect-It III Wool Compounding Pad (Single Pad),,2320,Fixed,,DEFAULT,14.63,,05719,,1,,No,No,,
A8TA5CAZ62PJ0,3M Perfect-It Plus Ultrafine Foam Polishing Pad,,2161,Fixed,,DEFAULT,0.00,,05733,,,,No,No,,
T1H13MKWH07VJ,3M Perfect-It Foam Polishing Pad,,2590,Fixed,,DEFAULT,15.60,,05738,,,,No,No,,
0P64B49C3E7DW,3M Perfect-It ULTRAFINE Foam Polishing Pad,,4099,Fixed,,DEFAULT,26.56,,05751,,1,,No,No,,
XZYC78ETXCSYT,"3M 6"" Hookit Clean and Soft Interface Pad ( FOAM GRAY)",,1233,Fixed,,DEFAULT,9.03,,05777,,-3,,No,No,,
GS63057XHS202,"3M Hookit 6"" Clean Sand DF Pad (YELLOW)",,5319,Fixed,,DEFAULT,35.90,051131058651,05865,,2,,No,No,,
BY2QA4ZV4KXPC,Hookit II Backing,,5000,Fixed,,DEFAULT,0.00,,058651,,,,No,No,,
14SDM1H60BRZ8,3M Paint Buster Hand Cleaner,,1359,Fixed,,DEFAULT,0.00,,05975,,,,No,No,,
ATAFR3W6RZGKY,3M PERFECT IT 3000 SWIRL REMOVER,,3595,Fixed,,DEFAULT,29.68,,06064,,3,,No,No,,
Y3YS1RGDTCDYW,3M Perfect-It 3000 Ultrafine Swirl Eliminator,,2750,Fixed,,DEFAULT,0.00,,06066,,,,No,No,,
