Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
3SBX9SVB6KTVW,Opaque Bronze Metallic Comart 4oz,,8.25,Fixed,,DEFAULT,3.82,,1-102-4,,3,,No,No
GBNGVFY9NGNRY,Comart Speciality Opaque Silver Metallic 1oz,,2.89,Fixed,,DEFAULT,1.42,734748310311,1-103-1,,-1,,No,No
9CAYK52R71X44,Comart Opaque Silver Metallic 16oz,,29.95,Fixed,,DEFAULT,14.17,734748310359,1-103-16,,,,No,No
79BHR326746G6,Medea Comart Opaque Silver Metallic 4oz,,8.25,Fixed,,DEFAULT,3.82,,1-103-4,,1,,No,No
M272KEZ681A58,Comart Speciality Opaque Gold Metallic 1oz,,2.89,Fixed,,DEFAULT,1.45,734748310410,1-104-1,,9,,No,No
9RVXXETKZBVHP,Opaque Gold Metallic Comart 4oz,,8.25,Fixed,,DEFAULT,3.88,,1-104-4,,4,,No,No
28E1ATE3FVPNC,Comart Specialty Pearlescent Additive 1oz *DISCONTINUED,,2.89,Fixed,,DEFAULT,1.40,,1-110-1,,4,,No,No
0BXQ60Y7A3Y7W,Comart Specialty Pearlescent Additive 16oz *DISCONTINUED,,29.95,Fixed,,DEFAULT,13.96,,1-110-16,,-1,,No,No
H4FPWWHWX693C,Comart Pearlescent Additive 4oz *DISCONTINUED,,8.25,Fixed,,DEFAULT,3.88,,1-110-4,,14,,No,No
HSP8WHZRPCZH2,Paasche Bench Top Spray Booth Explosion Proof Motor,,459.00,Fixed,,DEFAULT,351.20,,1/4-1-EXP,,,,No,No
HGMRD5GE336AR,Paasche Bench Top Spray Booth Motor,,325.00,Fixed,,DEFAULT,221.60,,1/4-1-TE,,,,No,No
6SSJ7B8EAZDRA,"1/4"" Female Thread w/ Barb & O Ring Pressure Seal (Specialty Item)",,12.95,Fixed,,DEFAULT,0.00,,1/4BARB,,,,No,No
EAB8QG8MHGQRG,1/8-1/8 NPT,,0.95,Fixed,,DEFAULT,0.00,,1/8-1/8 NPT,,23,,No,No
1BYTMXHA04V98,Badger 100 Side Feed Right Hand Airbrush (Fine),,68.95,Fixed,,DEFAULT,38.38,,100-1,,3,,No,No
6RKPW8BTDPP9W,Badger 100 Side Feed Medium Head  Airbrush Right Hand,,68.95,Fixed,,DEFAULT,39.52,,100-2,,4,,No,No
Y3YKDQAD7V4BC,Badger 100 G  Airbrush Fine Head,,68.95,Fixed,,DEFAULT,49.02,,100-3,,1,,No,No
6N99AZMQJZBGW,Badger 100-G Airbrush Medium Head,,68.95,Fixed,,DEFAULT,47.88,,100-32,,5,,No,No
ESFSY9YYXZGNA,Badger 100-LG Airbrush Medium Head,,68.95,Fixed,,DEFAULT,51.68,,100-6,,14,,No,No
HJ7H9Y8XNF8B2,Badger 100-SG Airbrush Fine Head,,89.95,Fixed,,DEFAULT,45.60,047459100080,100-8,,,,No,No
007BFFSPH7Q7T,Badger 100-SG Airbrush Medium Head,,89.95,Fixed,,DEFAULT,45.60,047459100097,100-9,,-1,,No,No
G0ZHCZBR6GMT4,Badger 100 Side Feed Fine Head Airbrush Left Hand,,68.95,Fixed,,DEFAULT,38.38,,100-LH-1,,,,No,No
F8GJMNR0QKR4C,Badger 100 Side Feed Medium Head Airbrush Left Hand,,68.95,Fixed,,DEFAULT,38.38,,100-LH-2,,-1,,No,No
S81XGFEZ1EPZJ,Grifhold 4 piece Tweezer Set,,0.00,Fixed,,DEFAULT,0.00,,1000,,,,No,No
E19PVDW9DAWQE,Advantage Economy Lacquer Thinner 5 Gal,,72.21,Fixed,,DEFAULT,42.92,,10005,,3,,No,No
C49S4277KHVP8,Sata Gun Oil Single Tube,,6.99,Fixed,,DEFAULT,0.00,,10009,,,,No,No
JE654R1W54X52,Sata Lubricating Oil,,27.85,Fixed,,DEFAULT,4.91,,10009-Oil,,-1,,No,No
NRH30WCMJVTYE,One Shot 100L  Vermillion 8oz,,17.67,Fixed,,DEFAULT,9.90,807350009468,100L-HP,,-3,,No,No
KYGR7CSMCAJJC,One Shot 100L Vermillion 16oz,,25.71,Fixed,,DEFAULT,13.57,807350009451,100L-P,,-2,,No,No
QD5490R7S082M,"Mach One 101  #0 Striper (1-5/16"")",,12.80,Fixed,,DEFAULT,7.77,MACK 101,101-0,,-2,,No,No
RDCQGT0ZT9Z0R,"Mach-One 101 # 00 Striper (1-7/8"")",,12.00,Fixed,,DEFAULT,7.14,MACK 101,101-00,,,,No,No
C53X8GGSR9Z8A,"Mach-One 101 # 1  Striper (2"")",,14.40,Fixed,,DEFAULT,9.45,MACK 101,101-1,,-6,,No,No
ADND095F95VRR,"Mach-One 101 # 2 Striper (2-1/16"")",,15.20,Fixed,,DEFAULT,9.45,MACK 101,101-2,,5,,No,No
6EFXGVWZJNEQC,Mack Series 1010 Striping # 0,,12.00,Fixed,,DEFAULT,10.71,,1010-0,,-12,,No,No
8YQN3XCF3YXTA,Mack Series 1010 Striping # 00,,11.20,Fixed,,DEFAULT,10.08,,1010-00,,-9,,No,No
2FQYAMTEYKA0C,Mack Series 1010 Striping # 1,,12.80,Fixed,,DEFAULT,11.34,,1010-1,,,,No,No
EDBFGCEQPZ5XP,One Shot 101L White 16oz,,17.77,Fixed,,DEFAULT,9.95,807350009499,101L-PT,,-41,,No,No
