"Remove_Option","optID","optGroup","optName","optName2","optName3","optPriceDiff","optWholesalePriceDiff","optWeightDiff","optStock","optRegExp","optDefault","optAltImage","optAltLargeImage"
"0","358","100","Quart","","","36.75","0","0","0","","0","",""
"0","359","100","Gallon","","","139.55","0","0","0","","0","",""
"0","360","101","4 oz","","","7.95","0","0","0","","0","",""
"0","361","101","8 oz","","","12.95","0","0","0","","0","",""
"0","362","101","Quart","","","29.86","0","0","0","","0","",""
"0","363","102","Gallon-Hi-Gloss RU101","","","39.25","0","0","0","","0","",""
"0","364","102","Gallon-Fast Dry RU202","","","46.75","0","0","0","","0","",""
"0","365","103","Quart-AP01","","","26.95","0","0","0","","0","",""
"0","366","103","Quart-AP02","","","46.75","0","0","0","","0","",""
"0","367","104","4 oz","","","15.5","0","0","0","","0","",""
"0","368","104","16 oz","","","47.75","0","0","0","","0","",""
"0","369","105","2 oz","","","6.95","0","0","0","","0","",""
"0","370","105","4 oz","","","11.95","0","0","0","","0","",""
"0","408","109","1 oz by vol.","","","9.95","0","0","0","","0","",""
"0","409","109","6 oz","","","48.95","0","0","0","","0","",""
"0","410","110","1 oz by vol.","","","9.95","0","0","0","","0","",""
"0","411","110","6 oz","","","48.95","0","0","0","","0","",""
"0","412","111","1 oz by vol.","","","11.95","0","0","0","","0","",""
"0","413","111","6 oz","","","59.99","0","0","0","","0","",""
"0","414","112","1 oz by vol.","","","12.95","0","0","0","","0","",""
"0","415","112","6 oz","","","74.95","0","0","0","","0","",""
"0","416","113","1oz","","","11.95","0","0","0","","0","",""
"0","1056","113","6oz","","","59.99","0","0","0","","0","",""
"0","417","114","1 oz by vol.","","","13.28","0","0","0","","0","",""
"0","418","114","3 oz / Factory Jar","","","55.76","0","0","0","","0","",""
"0","419","115","1 oz by vol.","","","12.81","0","0","0","","0","",""
"0","420","115","3 oz / Factory Jar","","","53.8","0","0","0","","0","",""
"0","421","116","1/2 oz by vol.","","","18.69","0","0","0","","0","",""
"0","422","116","3 oz / Factory Jar","","","52.33","0","0","0","","0","",""
"0","423","117","1/2 oz by vol.","","","27.18","0","0","0","","0","",""
"0","424","117","3 oz / Factory Jar","","","76.09","0","0","0","","0","",""
"0","425","118","1/2 oz by vol.","","","33.63","0","0","0","","0","",""
"0","426","118","3 oz / Factory Jar","","","94.15","0","0","0","","0","",""
"0","427","119","1/2 oz by vol.","","","12.95","0","0","0","","0","",""
"0","428","119","2 oz","","","30.7","0","0","0","","0","",""
"0","429","120","1/2 oz by vol.","","","12.95","0","0","0","","0","",""
"0","430","120","2 oz","","","46.9","0","0","0","","0","",""
"0","431","121","1/2 oz by vol.","","","12.95","0","0","0","","0","",""
"0","432","121","2 oz","","","32.05","0","0","0","","0","",""
"0","433","122","1/2 oz by vol.","","","12.95","0","0","0","","0","",""
"0","434","122","2 oz","","","46.9","0","0","0","","0","",""
"0","435","123","1/2 oz by vol.","","","12.95","0","0","0","","0","",""
"0","436","123","2 oz","","","38.8","0","0","0","","0","",""
"0","437","124","1/2 oz by vol.","","","12.95","0","0","0","","0","",""
"0","438","124","2 oz","","","36.75","0","0","0","","0","",""
"0","439","125","1/2 oz by vol.","","","12.95","0","0","0","","0","",""
"0","440","125","2 oz","","","39.65","0","0","0","","0","",""
"0","441","126","1/2 oz by vol.","","","30.34","0","0","0","","0","",""
"0","442","126","2 oz","","","106.19","0","0","0","","0","",""
"0","443","127","1/2 oz by vol.","","","34.95","0","0","0","","0","",""
"0","444","127","4 oz","","","79.95","0","0","0","","0","",""
"0","445","128","1oz","","","73.95","0","0","0","","0","",""
"0","448","129","KPF100(SF)-1/2 oz by vol.","","","84.95","0","0","0","","0","",""
"0","457","130","KPF101-1/2 oz by vol.","","","84.95","0","0","0","","0","",""
"0","458","130","KPF101(SF)-1/2 oz by vol.","","","84.95","0","0","0","","0","",""
"0","461","131","KPF102-1/2 oz by vol","","","84.95","0","0","0","","0","",""
"0","462","131","KPF102-2 oz","","","304.95","0","0","0","","0","",""
"0","467","132","KPF103(SF)-1/2 oz by vol","","","84.95","0","0","0","","0","",""
"0","469","133","KPF104-1/2 oz by vol","","","84.95","0","0","0","","0","",""
"0","4282","133","KPF104-2oz by weight","","","398","0","0","0","","0","",""
